Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.17,belle (grounded),2/20/2015
A56,14,7,-68.83,-55.77,belle,2/20/2015
A57,11,5,-77.32,-49.23,belle,2/20/2015
A61,13,4,-72.37,-16.62,weddw (fasted),2/20/2015
A63,11,3,-76.38,-44.72,belle,2/20/2015
A64,16,11,-69.72,-61.07,belle (fasted),2/20/2015
B09B,27,10,-66.62,142.77,wilke,2/20/2015
B09D,22,6,-69.03,29.88,weddw (grounded),2/20/2015
B09F,21,8,-68.3,39.02,amerw,2/20/2015
B09G,12,7,-66.98,46.03,amerw,2/20/2015
B15K,16,3,-66.93,-59.88,belle,2/20/2015
B15R,10,2,-68.65,-50.42,belle,2/20/2015
B15T,28,7,-68.43,32.32,amerw,2/20/2015
B15X,10,7,-66.1,-57,belle,2/20/2015
B15Y,11,2,-64.23,-55.83,belle,2/20/2015
B15Z,20,8,-67.03,45.38,amerw,2/20/2015
B15AA,11,6,-65.82,51.6,amerw,2/20/2015
B15AB,11,4,-65.92,51.32,amerw (grounded),2/20/2015
B16,16,6,-69.62,24.35,wedde,2/20/2015
B17A,19,6,-55.18,-36.33,belle (grounded),2/20/2015
B22A,44,24,-74.1,-108.92,amune (fasted),2/20/2015
B28,10,7,-74.8,-108.97,amune (fasted),2/20/2015
B29,11,5,-74.63,-109.08,amune (fasted),2/20/2015
B30,31,18,-73.93,-130.2,amunw,2/20/2015
B31,18,11,-72.77,-111.15,amune,2/20/2015
C15,14,10,-66.32,143.23,wilke,2/20/2015
C18B,20,4,-65.47,114.02,wilkw (fasted),2/20/2015
C21B,12,8,-64.97,95.92,wilkw (fasted),2/20/2015
C24,11,3,-64.82,96.05,wilkw (fasted),2/20/2015
C28B,21,14,-66.65,42.72,amerw,2/20/2015
D15,55,29,-66.8,81.9,amere (fasted),2/20/2015
D20A,27,9,-69.15,36.48,amerw (fasted),2/20/2005
D20B,11,2,-69.02,36.27,amerw (fasted),2/20/2015
D21A,21,5,-65.68,47.82,amerw,2/20/2015
D21B,11,4,-66.08,85.3,amere (fasted),2/20/2015
D22,12,3,-65.97,86.92,amere (fasted),2/20/2015
