Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A23A,40,32,-58.67,-46.3,1424.85,1075.93,3690.35,08/15/2024
A74A,30,18,-67.26,-58.44,417.73,315.44,1081.92,08/15/2024
A74B,8,4,-60.61,-53.34,29.29,22.12,75.87,08/15/2024
A76B,15,7,-62.65,-58.47,85.54,64.59,221.55,08/15/2024
A76C,16,7,-63.81,-56.43,135.08,102.00,349.85,08/15/2024
A76N,9,4,-61.97,-55.0,34.06,25.72,88.23,08/15/2024
A77,27,4,-67.55,-59.2,128.09,96.73,331.76,08/15/2024
A80A,10,9,-63.65,-56.37,78.60,59.35,203.57,08/15/2024
A80D,6,5,-63.69,-53.99,21.49,16.23,55.66,08/15/2024
A81,28,25,-72.29,-51.19,520.69,393.18,1348.57,08/15/2024
A82,12,6,-70.14,-85.8,49.36,37.28,127.85,08/15/2024
A83,20,7,-75.34,-26.13,130.53,98.57,338.08,08/15/2024
B09B,27,10,-66.13,143.21,195.19,147.39,505.54,08/15/2024
B09G,12,7,-68.2,41.69,62.53,47.22,161.94,08/15/2024
B15AB,10,4,-72.46,-42.42,34.61,26.14,89.65,08/15/2024
B22A,33,26,-72.68,-126.24,682.38,515.28,1767.37,08/15/2024
B22F,22,15,-72.61,-127.41,270.68,204.39,701.05,08/15/2024
B22G,9,5,-72.46,-127.08,36.69,27.71,95.03,08/15/2024
B29,11,5,-73.77,-110.39,25.28,19.09,65.46,08/15/2024
B38,6,4,-76.25,-160.5,23.64,17.85,61.24,08/15/2024
B39,8,4,-61.58,-54.56,30.02,22.67,77.76,08/15/2024
B45,7,4,-73.14,-119.61,29.55,22.31,76.53,08/15/2024
B47,19,5,-74.08,-137.8,38.87,29.35,100.68,08/15/2024
C15,14,10,-65.9,143.08,85.20,64.33,220.66,08/15/2024
C18B,20,4,-67.07,78.34,79.51,60.04,205.94,08/15/2024
C21B,12,8,-64.98,95.84,99.64,75.24,258.06,08/15/2024
C24,11,3,-64.84,96.03,24.06,18.17,62.33,08/15/2024
C29,7,5,-65.86,142.6,25.89,19.55,67.05,08/15/2024
C30,9,3,-64.78,96.28,29.75,22.47,77.05,08/15/2024
C31,9,3,-64.68,96.5,27.83,21.01,72.08,08/15/2024
C33,11,4,-65.63,109.32,28.96,21.87,75.02,08/15/2024
C35,8,5,-66.35,143.05,22.27,16.81,57.67,08/15/2024
C36,23,16,-67.91,147.46,312.94,236.30,810.50,08/15/2024
C38B,8,7,-66.12,92.21,18.49,13.96,47.88,08/15/2024
C39,15,8,-64.37,97.94,79.71,60.19,206.45,08/15/2024
D15A,51,22,-66.63,81.92,1178.62,890.00,3052.60,08/15/2024
D15B,32,12,-66.98,81.46,327.08,246.98,847.13,08/15/2024
D20A,14,5,-57.72,-42.43,47.63,35.97,123.36,08/15/2024
D23,7,6,-69.43,74.7,47.61,35.95,123.32,08/15/2024
D32,9,6,-69.5,27.84,51.09,38.58,132.33,08/15/2024
D33A,34,10,-73.55,-42.47,245.81,185.61,636.63,08/15/2024
D33B,21,12,-75.93,-33.82,124.14,93.74,321.51,08/15/2024
D33C,15,7,-73.77,-41.9,87.80,66.30,227.39,08/15/2024
D34,11,8,-67.18,82.02,67.08,50.66,173.75,08/15/2024
D35,28,6,-72.1,-16.57,149.18,112.65,386.36,08/15/2024
D36,11,5,-66.31,86.63,26.06,19.68,67.49,08/15/2024
