Iceberg,Length (NM),Width (NM),Latitude,Longitude,Area (sqMI),Area (sqNM),Area (sqKM),Last Update
A76C,16,7,-58.57,-34.17,112.44,84.90,291.21,05/15/2026
A81,28,25,-64.06,-55.21,549.33,414.81,1422.75,05/15/2026
A83,12,7,-65.79,-52.91,73.29,55.34,189.82,05/15/2026
A84,12,6,-72.78,-107.18,76.06,57.43,196.99,05/15/2026
A85,10,3,-67.5,-57.02,24.18,18.26,62.62,05/15/2026
B09B,27,10,-66.09,143.2,196.50,148.38,508.94,05/15/2026
B09G,12,7,-68.2,41.48,61.80,46.66,160.06,05/15/2026
B22A,29,25,-70.08,178.75,549.47,414.92,1423.13,05/15/2026
B22F,14,7,-67.22,178.24,91.64,69.20,237.35,05/15/2026
B22H,8,6,-70.62,169.5,30.28,22.86,78.42,05/15/2026
B51,16,3,-74.22,-130.63,31.48,23.77,81.52,05/15/2026
C15,14,10,-65.86,143.01,82.44,62.25,213.53,05/15/2026
C18B,10,4,-66.97,47.24,42.63,32.19,110.40,05/15/2026
C18C,10,2,-68.48,39.05,20.49,15.47,53.07,05/15/2026
C21B,12,8,-64.98,95.84,99.99,75.50,258.97,05/15/2026
C24,11,3,-64.84,96.02,22.35,16.87,57.88,05/15/2026
C30,9,3,-64.78,96.28,28.98,21.89,75.06,05/15/2026
C31,9,3,-64.68,96.49,28.21,21.30,73.07,05/15/2026
C36,23,16,-67.47,146.48,330.41,249.50,855.76,05/15/2026
C39,8,4,-67.48,71.07,22.14,16.72,57.36,05/15/2026
D15A,51,22,-66.63,81.92,1172.77,885.59,3037.47,05/15/2026
D15B,20,12,-67.02,81.57,235.72,178.00,610.52,05/15/2026
D15C,14,7,-67.15,79.5,44.89,33.89,116.25,05/15/2026
D15D,8,6,-67.28,79.31,27.17,20.52,70.36,05/15/2026
D23,7,6,-69.43,74.71,40.77,30.79,105.60,05/15/2026
D32,9,6,-65.28,-46.68,41.08,31.02,106.39,05/15/2026
D33A,34,10,-64.71,-57.21,255.76,193.13,662.41,05/15/2026
D33B,21,12,-65.87,-53.19,123.81,93.49,320.68,05/15/2026
D33C,15,7,-65.15,-57.02,89.29,67.43,231.27,05/15/2026
D34,11,8,-67.16,82.05,64.02,48.34,165.80,05/15/2026
D35,28,6,-64.1,-47.97,140.18,105.85,363.06,05/15/2026
D37,30,7,-69.21,36.35,184.47,139.29,477.77,05/15/2026
