Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,44,40,-75.88,-41.12,belle (grounded),11/25/16
A57A,11,5,-66.57,-58.22,belle,11/25/16
A57B,7,4,-68.32,-60.08,belle,11/25/16
A61,13,4,-63.65,-34.70,belle,11/25/16
A63,11,3,-76.47,-45.65,belle ,11/25/16
A64,16,11,-69.70,-61.05,belle (fasted),11/25/16
A66,7,4,-53.80,-28.20,weddw,11/25/16
B09B,27,10,-66.62,142.58,wilke (fasted),11/25/16
B09D,22,6,-64.98,-43.75,belle,11/25/16
B09F,20,8,-68.45,-45.08,belle,11/25/16
B09G,12,7,-68.03,41.67,amerw (fasted),11/25/16
B09H,11,2,-68.63,-38.47,belle,11/25/16
B09I,12,6,-65.13,135.72,wilke (fasted),11/25/16
B15K,16,3,-46.87,-33.13,belle,11/25/16
B15T,25,6,-70.07,-47.32,belle,11/25/16
B15Z,15,7,-69.80,-47.72,belle,11/25/16
B15AA,11,6,-69.87,21.98,wedde,11/25/16
B15AB,11,4,-65.97,51.33,amerw (fasted),11/25/16
B16,16,6,-75.77,-37.32,belle,11/25/16
B22A,44,24,-73.98,-108.85,amune (grounded),11/25/16
B28,10,7,-74.75,-108.88,amune (fasted),11/25/16
B29,11,5,-74.58,-109.00,amune (fasted),11/25/16
B30,26,18,-73.87,-152.25,rosse,11/25/16
B31,18,11,-70.87,-112.78,amune,11/25/16
B34,10,3,-67.58,178.10,rossc,11/25/16
B35,7,3,-72.40,-109.15,amune,11/25/16
B37,8,3,-74.58,-108.67,amune (fasted),11/25/16
B38,6,4,-76.97,-155.08,rosse (fasted),11/25/16
B39,8,4,-65.08,134.55,wilke,11/25/16
B40,8,5,-65.63,132.50,wilke,11/25/16
B41,8,4,-73.80,-107.32,amune,11/25/16
C15,14,10,-66.43,143.13,wilke,11/25/16
C18B,20,4,-65.43,114.00,wilkw (grounded),11/25/16
C21B,12,8,-64.98,95.90,wilkw (fasted),11/25/16
C24,11,3,-64.83,96.02,wilkw (fasted),11/25/16
C28B,21,14,-68.73,-45.50,belle,11/25/16
C29,7,5,-66.15,142.95,wilke (fasted),11/25/16
C30,9,3,-64.78,96.30,wilkw (fasted),11/25/16
C31,9,3,-64.70,96.52,wilkw (fasted),11/25/16
C32,7,5,-70.05,162.52,rossw (grounded),11/25/16
C33,11,4,-72.93,170.15,rossc,11/25/16
D15A,51,24,-66.67,81.95,amere (fasted),11/25/16
D15B,33,12,-67.08,81.75,amere (fasted),11/25/16
D20A,27,9,-68.98,36.33,amerw (fasted),11/25/16
D20B,11,2,-68.58,35.85,amerw (fasted),11/25/16
D21A,14,4,-68.42,-39.42,belle,11/25/16
D21B,11,4,-65.98,81.63,amere,11/25/16
D22,12,3,-65.93,86.95,amere (grounded),11/25/16
D23,8,6,-69.43,74.63,amere (fasted),11/25/16
D26,18,1,-69.27,29.65,wedde,11/25/16
